money_id ,unit_money ,quantity_money ,
money305,dollars ,1,
money306,dollars ,1,
money307,dollars ,1,
money308,cents ,6,
money309,dollars ,5,
money310,dollars ,1,
money311,cents ,8,
money312,dollars ,10,
money313,dollars ,1,
money314,cents ,44,
money315,dollars ,25,
money316,dollars ,1,
money317,cents ,13,
money318,dollars ,14,
money319,cents ,17,
money320,dollars ,4,
money321,cents ,52,
money322,dollars ,6,
money323,dollars ,25,
money324,dollars ,25,
money325,dollars ,2.5,
money326,dollars ,2,
money327,cents ,50,
money328,dollars ,3,
money329,cents ,8,
money330,dollars ,1,
money331,cents ,50,
money332,dollars ,5,
money333,dollars ,1,
money334,dollars ,1,
money335,dollars ,10,
money336,dollars ,3,
money337,cents ,96,
money338,dollars ,5,
money339,dollars ,1,
money340,dollars ,4,
money341,dollars ,4.24,
money342,dollars ,12,
money343,cents ,75,
money344,dollars ,2,
money345,dollars ,4,
money346,dollars ,10,
money347,cents ,50,
money348,dollars ,125,
money349,dollars ,1,
money350,cents ,32,
money351,dollars ,8,
money352,dollars ,2,
money353,dollars ,8,
money354,cents ,45,
money355,cents ,93,
money356,cents ,73,
money357,dollars ,4,
money358,cents ,5,
money359,cents ,75,
money360,dollars ,2,
money361,dollars ,5,
money362,dollars ,6,
money363,cents ,75,
money364,dollars ,12,
money365,cents ,83,
money366,dollars ,1,
money367,cents ,50,
money368,dollars ,1,
money369,cents ,50,
money370,cents ,65,
money371,cents ,50,
money372,dollars ,10,
money373,dollars ,2,
money374,dollars ,10,
money375,dollars ,5,
money376,dollars ,2,
money377,cents ,50,
money378,dollars ,2,
money379,dollars ,2,
money380,dollars ,2,
money381,dollars ,2,
money382,dollars ,2,
money383,cents ,33,
money384,dollars ,2,
money385,cents ,20,
money386,dollars ,5,
money387,dollars ,2,
money388,dollars ,2,
money389,dollars ,30,
money390,dollars ,18,
money391,cents ,64,
money392,cents ,52,
money393,dollars ,3,
money394,dollars ,2,
money395,cents ,25,
money396,cents ,50,
money397,dollars ,7,
money398,dollars ,5,
money399,cents ,70,
money400,cents ,28,
money401,cents ,67,
money402,cents ,56,
money403,dollars ,1,
money404,cents ,38,
money405,dollars ,5,
money406,dollars ,20,
money407,dollars ,20,
money408,cents ,13,
money409,dollars ,2,
money410,cents ,13,
money411,cents ,70,
money412,cents ,70,
money413,dollars ,1,
money414,cents ,43,
money415,cents ,42,
money416,dollars ,2,
money417,cents ,25,
money418,dollars ,1,
money419,cents ,50,
money420,dollars ,31,
money421,cents ,20,
money422,dollars ,6,
money423,dollars ,6,
money424,cents ,69,
money425,cents ,69,
money426,dollars ,4,
money427,dollars ,4,
money428,cents ,50,
money429,cents ,50,
money430,dollars ,10,
money431,dollars ,5,
money432,dollars ,1,
money433,cents ,50,
money434,cents ,84,
money435,cents ,13,
money436,cents ,45,
money437,dollars ,1,
money438,dollars ,1,
money439,cents ,75,
money440,cents ,75,
money441,cents ,33,
money442,dollars ,1,
money443,cents ,20,
money444,cents ,67,
money445,dollars ,2,
money446,dollars ,2,
money447,cents ,23,
money448,cents ,23,
money449,dollars ,2,
money450,cents ,25,
money451,dollars ,9,
money452,cents ,97,
money453,dollars ,2,
money454,cents ,50,
money455,dollars ,1,
money456,cents ,45,
money457,cents ,55,
money458,cents ,50,
money459,dollars ,1,
money460,cents ,75,
money461,dollars ,20,
money462,dollars ,1,
money463,cents ,50,
money464,dollars ,10,
money465,cents ,94,
money466,dollars ,2,
money467,cents ,50,
money468,dollars ,2,
money469,dollars ,32,
money470,cents ,50,
money471,dollars ,9,
money472,cents ,87,
money473,dollars ,2.88,
money474,cents ,60,
money475,dollars ,3,
money476,cents ,48,
money477,dollars ,3,
money478,cents ,51,
money479,dollars ,2.8,
money480,dollars ,2,
money481,cents ,20,
money482,dollars ,5,
money483,cents ,40,
money484,dollars ,1,
money485,cents ,16,
money486,dollars ,12,
money487,dollars ,1,
money488,cents ,33,
money489,dollars ,3,
money490,dollars ,3,
money491,cents ,50,
money492,dollars ,20,
money493,dollars ,3,
money494,dollars ,5,
money495,dollars ,5,
money496,dollars ,2,
money497,dollars ,3,
money498,dollars ,2,
money499,cents ,72,
